unit,department_name,department_description,department_category,unit_description
0,Unidentified,NULL OR ZERO,Miscellaneous/Other,Miscellaneous/Other
0,Unidentified,NULL OR ZERO,Miscellaneous/Other,Miscellaneous/Other
1,CPD,1718 S. State,CPD,CPD - 1st District
2,CPD,5101 S. Wentworth,CPD,CPD - 2nd District
3,CPD,7040 S. Cottage Grove,CPD,CPD - 3rd District
4,CPD,2255 E. 103rd Street,CPD,CPD - 4th District
5,CPD,727 E. 11th Street,CPD,CPD - 5th District
6,CPD,7808 S. Halsted,CPD,CPD - 6th District
7,CPD,6120 S. Racine,CPD,CPD - 7th District
8,CPD,3420 W 63rd,CPD,CPD - 8th District
9,CPD,3120 S Halsted,CPD,CPD - 9th District
10,CPD,3315 W. Ogden,CPD,CPD - 10th District
11,CPD,3151 W. Harrison,CPD,CPD - 11th District
12,CPD,100 S. Racine,CPD,CPD - 12th District
13,CPD,"937 N. Wood, 2nd Fl",CPD,CPD - 13th District
14,CPD,2150 N. California,CPD,CPD - 14th District
15,CPD,5701 W. Madison,CPD,CPD - 15th District
16,CPD,5151 N. Milwaukee,CPD,CPD - 16th District
17,CPD,4650 N. Pulaski,CPD,CPD - 17th District
18,CPD,1160 N. Larrabee,CPD,CPD - 18th District
19,CPD,2452 W. Belmont,CPD,CPD - 19th District
20,CPD,5400 N. Lincoln Ave,CPD,CPD - 20th District
21,CPD,300 E 29th Street,CPD,CPD - 21st District
22,CPD,1900 W. Monterey,CPD,CPD - 22nd District
23,CPD,3600 N. Halsted,CPD,CPD - 23rd District
24,CPD,6464 N. Clark,CPD,CPD - 24th District
25,CPD,5555 W. Grand,CPD,CPD - 25th District
26,CPD-Other,Other Police,CPD,CPD - Other Police
27,CPD-Other,Other Police,CPD,CPD - Other Police
28,CPD-Other,Other Police,CPD,CPD - Other Police
29,CPD-Other,Other Police,CPD,CPD - Other Police
30,CPD-Other,Other Police,CPD,CPD - Other Police
31,CPD-Other,Other Police,CPD,CPD - Other Police
32,CPD-Other,Other Police,CPD,CPD - Other Police
33,CPD-Other,Other Police,CPD,CPD - Other Police
35,CPD-Other,Other Police,CPD,CPD - Other Police
42,CPD-Other,Other Police,CPD,CPD - Other Police
43,CPD-Other,Other Police,CPD,CPD - Other Police
44,CPD-Other,Recruit Training,CPD,CPD - Recruit Training
45,CPD-Other,District Reinstatement,CPD,CPD - District Reinstatement
48,CPD-Other,Other Police,CPD,CPD - Other Police
49,CPD-Other,Other Police,CPD,CPD - Other Police
50,CPD-Airport,O'Hare Airport,CPD,CPD - O'Hare Airport
51,CPD-Airport,Midway Airport,CPD,CPD - Midway Airport
53,Miscellaneous,Bureau of Electricity,Miscellaneous/Other,Miscellaneous/Other - Bureau of Electricity
54,CPD-Other,Other Police,CPD,CPD - Other Police
55,CPD,Mounted Unit,CPD,CPD - Mounted Unit
57,CPD,Detail Unit,CPD,CPD - Detail Unit
59,CPD,Marine Unit,CPD,CPD - Marine Unit
60,CPD-Other,Helicopter Unit,CPD,CPD - Helicopter Unit
61,CPD-Other,Other Police,CPD,CPD - Other Police
69,CPD-Other,Other Police,CPD,CPD - Other Police
70,CPD-Other,Other Police,CPD,CPD - Other Police
71,CPD-Other,Other Police,CPD,CPD - Other Police
73,CPD-Other,Other Police,CPD,CPD - Other Police
74,CPD-Other,Other Police,CPD,CPD - Other Police
75,CPD-Other,Other Police,CPD,CPD - Other Police
76,CPD-Other,Other Police,CPD,CPD - Other Police
77,CPD-Other,Other Police,CPD,CPD - Other Police
78,CPD-Other,Other Police,CPD,CPD - Other Police
79,CPD-Other,Special Investigations Unit,CPD,CPD - Special Investigations Unit
80,CPD-Other,Other Police,CPD,CPD - Other Police
81,CPD-Other,Other Police,CPD,CPD - Other Police
87,CPD-Other,Other Police,CPD,CPD - Other Police
88,CPD-Other,Other Police,CPD,CPD - Other Police
90,CPD-Other,Other Police,CPD,CPD - Other Police
92,Miscellaneous,Chicago State University,Miscellaneous/Other,Miscellaneous/Other - Chicago State University
93,CPD-Other,Other Police,CPD,CPD - Other Police
96,CPD-Other,Other Police,CPD,CPD - Other Police
99,CPD-Other,Other Police,CPD,CPD - Other Police
100,CPD-Other,Other Police,CPD,CPD - Other Police
101,CPD-Other,Police Board,CPD,CPD - Police Board
109,CPD-Other,Other Police,CPD,CPD - Other Police
110,CPD-Other,Other Police,CPD,CPD - Other Police
111,CPD-Other,Department Administration,CPD,CPD - Department Administration
112,CPD-Other,Bureau of Professional Standards,CPD,CPD - Bureau of Professional Standards
113,CPD-Other,Independent Police Review Authority,CPD,CPD - Independent Police Review Authority
114,CPD-Other,Office of Legal Affairs,CPD,CPD - Office of Legal Affairs
115,CPD-Other,CAPS Project Office,CPD,CPD - CAPS Project Office
116,CPD-Other,Deployment Operations Center Section,CPD,CPD - Deployment Operations Center Section
117,CPD-Other,Office of Asst Superintendent ,CPD,CPD - Office of Asst Superintendent 
118,CPD-Other,Chaplains Section,CPD,CPD - Chaplains Section
119,CPD-Other,Other Police,CPD,CPD - Other Police
120,CPD-Other,Bureau of Admin Services,CPD,CPD - Bureau of Admin Services
121,CPD-Other,Internal Affairs Division,CPD,CPD - Internal Affairs Division
122,CPD-Other,Finance Division,CPD,CPD - Finance Division
123,CPD-Other,Human Resources Division,CPD,CPD - Human Resources Division
124,CPD-Other,Education and Training Division,CPD,CPD - Education and Training Division
125,CPD-Other,Information Services Division,CPD,CPD - Information Services Division
126,CPD-Other,Inspection Division,CPD,CPD - Inspection Division
127,CPD-Other,Research and Development Division,CPD,CPD - Research and Development Division
128,CPD-Other,Professional Counseling Services,CPD,CPD - Professional Counseling Services
129,CPD-Other,Management and Labor Affairs Section,CPD,CPD - Management and Labor Affairs Section
130,CPD-Other,Other Police,CPD,CPD - Other Police
131,CPD-Other,Domestic Violence Office,CPD,CPD - Domestic Violence Office
132,CPD-Other,Neighborhood Relations Division,CPD,CPD - Neighborhood Relations Division
133,CPD-Other,Other Police,CPD,CPD - Other Police
134,CPD-Other,Field Technology Training Unit,CPD,CPD - Field Technology Training Unit
135,CPD-Other,CAPS Implementation,CPD,CPD - CAPS Implementation
136,CPD-Other,Special Events and Liaison Section,CPD,CPD - Special Events and Liaison Section
139,CPD,Back to Streets,CPD,CPD - Back to Streets
140,CPD,Security Detail,CPD,CPD - Security Detail
141,CPD-Other,Special Functions Group,CPD,CPD - Special Functions Group
142,CPD-Other,Bureau of Patrol - Administration,CPD,CPD - Bureau of Patrol - Administration
143,CPD-Other,Court Liaison Section,CPD,CPD - Court Liaison Section
145,CPD-Other,Traffic Section - Administration,CPD,CPD - Traffic Section - Administration
146,CPD-Other,Major Accident,CPD,CPD - Major Accident
147,CPD-Other,Senior Citizen Services Section,CPD,CPD - Senior Citizen Services Section
148,CPD-Other,Traffic Court/Records Unit,CPD,CPD - Traffic Court/Records Unit
151,CPD,Traffic Enforcement,CPD,CPD - Traffic Enforcement
152,CPD,Loop Traffic,CPD,CPD - Loop Traffic
153,CPD,Mobile Strike Force,CPD,CPD - Mobile Strike Force
154,CPD-Other,Traffic Safety and Training Unit,CPD,CPD - Traffic Safety and Training Unit
157,CPD-Other,Other Police,CPD,CPD - Other Police
158,CPD-Other,Other Police,CPD,CPD - Other Police
160,CPD-Other,Facilities Management Unit,CPD,CPD - Facilities Management Unit
